"Good choice of products on the website, and efficient delivery and fitting process in conjunction with our local garage.",delivery punctuality positive,length of fitting positive,location positive,,,,,,,,,,,
"Excellent service, and very good cost saving on tyres. Would recommend.",value for money positive,,,,,,,,,,,,,
"Very pleased. Excellent price on line and then fitted locally. What’s not to like,",location positive,value for money positive,,,,,,,,,,,,
"Good price, arrived in time",delivery punctuality positive,value for money positive,,,,,,,,,,,,
"Excellent service and good price too, have used previously and will use again",value for money positive,,,,,,,,,,,,,
"New tyres. Ease of purchase, garage professional and courteous.",garage service positive,,,,,,,,,,,,,
Affordable and good online tyre data info. The only negative comment is I wanted to book at home service but could not book a slot except am or pm,value for money positive,mobile fitter positive,ease of booking positive,ease of booking negative,,,,,,,,,,
Nice and Easy. The website nice and simple to use. A local garage fitted them at a time of my choosing. No issues or problems with the service.,location positive,ease of booking positive,garage service positive,,,,,,,,,,,
"Why the wait. Purchasing the new tyre and booking an appointment for fitting was very straightforward, but I was rather disappointed that having made a booking I still had to wait around for nearly 2 hours at the garage when the actual fitting only took 20 mins tops.",length of fitting positive,ease of booking positive,wait time negative,,,,,,,,,,,
"Thought I’d already done this but it’s definitely worth doing again as I’m very satisfied with [REDACTED] and the authorised fitting firm Shawfix. Very good system,efficient and great value for money. I highly recommend this company and I’m glad a friend of mine recommended them to me too.",garage service positive,value for money positive,,,,,,,,,,,,
Easy to use and faultless from start to finish,ease of booking positive,,,,,,,,,,,,,
Everything done as expected. However either this fitter (ATS) or my local garage where I had a service done has put some finger marks on the inner roof lining. but I can't be sure which.,damage negative,garage service positive,location positive,,,,,,,,,,,
Tyres purchase and fitting. Tyres fitted to my car locally at a great price.Kept informed of fitting date and time throughout.All in all a fuss free and pleasurable experience which I will definitely use again.,garage service positive,value for money positive,,,,,,,,,,,,
Very friendly and professional. Thanks for a speedy and painless turnaround. Definitely will be using you again.,length of fitting positive,garage service positive,,,,,,,,,,,,
Great garage great tyres great service,tyre quality positive,garage service positive,,,,,,,,,,,,
Quick and easy service from ordering the tyres to the fitting.,garage service positive,ease of booking positive,,,,,,,,,,,,
Good competitive price and fitted bang on time slot,value for money positive,wait time positive,,,,,,,,,,,,
Great service. Easy to order with a first class fitting service,garage service positive,ease of booking positive,,,,,,,,,,,,
Busy garage. Very busy garage make a appointment very pleased with the work that was done,garage service positive,garage service negative,,,,,,,,,,,,
It was easy to pick the tyres I wanted at a great price. Then select a garage and time that suits you.,value for money positive,ease of booking positive,,,,,,,,,,,,
Excellent service and simple system for the whole process. Would recommend to all and will definitely use again.,ease of booking positive,,,,,,,,,,,,,
"Great service, very easy to use website. The staff at my local dealer - Oak Tree Garage,Darlington Road, DL6 2PA - were very polite, helpful and informative. Overall a brilliant experience, I will definitely use them again.",garage service positive,location positive,,,,,,,,,,,,
New Tyres. Quick delivery to fitting centre that was also quick and very efficient. will def. use [REDACTED] and the garage again.,delivery punctuality positive,length of fitting positive,garage service positive,,,,,,,,,,,
"Very professional and helpful staff.Strongly recommend although I had slightly problems with one of the garage's date after I selected the convenient garage with their availability date and hour to fit four tyres for my car.15 minutes later I received an email from [REDACTED], saying that the nominated garage is fully booked on that day ( when I booked there were showing other three different times as well on that day !! ).The garages's deta bases have to be up to date with [REDACTED] system. Many thanks to [REDACTED] staff were resolved the problem very quickly.",wait time positive,advisor/agent service positive,garage service positive,advisoragent service positive,ease of booking negative,,,,,,,,,
"Will use again. Ease of ordering on line, choice of garage, good price and pleased with service all round.",value for money positive,,,,,,,,,,,,,
"Excellent service. Price is great (fitting included in price, no hidden costs). Fast and great service, will always recommend.",extra charges positive,value for money positive,,,,,,,,,,,,
"Easy to use and garage was great. Only crticism is that on [REDACTED] it said the slot was morning so I checked with them what that actualy meant. They said I could go anytime from 8.30 to 11.30. I booked the fitting and got an appointment time of 8.30, no flexibility as per first enquiry. I mentioned this to the garage and they told me they also get told what time slot it is by [REDACTED]. This should be clearer up front.",garage service positive,ease of booking negative,ease of booking positive,,,,,,,,,,,
"Seamless hasslefree experience. Seamless delivery, fitting and payment. Good price too. I like being able to select the tyre I want in advance. There was a good range to suit my budget and being able to schedule it for a time/day that suits me is very handy.",delivery punctuality positive,garage service positive,ease of booking positive,value for money positive,,,,,,,,,,
Very easy to use and a great saving on previous quotes. Faultless from start to finish,value for money positive,,,,,,,,,,,,,
"Never had any issues with the tyres, fitting or garages i’ve Used via [REDACTED]- easy and cost effective service.",garage service positive,value for money positive,,,,,,,,,,,,
"The whole process is very slick, prices competitive, and the ratings of nearby fitters helpful to choose who to use. I have used [REDACTED] for a number of years now and never been let down.",location positive,value for money positive,,,,,,,,,,,,
Got high end tyres for an awesome price. Definitely use again.,tyre quality positive,value for money positive,,,,,,,,,,,,
"Friendly service and advice,very good prices through [REDACTED]",value for money positive,,,,,,,,,,,,,
Great service and a nice easy way to choose tyres for your budget,value for money positive,,,,,,,,,,,,,
"No problem ordering online, quick and easy process, good choice of booking slots and pit stop convenient to get to. Took guys longer than expected to change my tyres but could see that they were tired and had a very long and busy day. They were friendly and just nice guys. Thanks for doing the job and will definitely use them again. Cathy",ease of booking positive,length of fitting positive,location positive,garage service positive,length of fitting negative,,,,,,,,,
"This company wont leave you deflated. Really easy peasy way to buy decent reasonably priced tyres with the ability to pick a fitting time,|(if required) that suits your needs. Used them now for the last four or five years and never had a problem.",ease of booking positive,value for money negative,value for money positive,ease of booking negative,,,,,,,,,,
"Reliable. Fast, reliable and with excellent prices.",value for money positive,,,,,,,,,,,,,
"What a great service. The [REDACTED] website offered me a great price and the tyres were delivered to my local fitter promptly - as promised! The fitter at M D Tyre & Exhaust Centre, Gorse Lane Industrial Estate, Clacton was friendly and thorough. I would be quite happy to recommend this service!",garage service positive,location positive,delivery punctuality positive,value for money positive,,,,,,,,,,
"Was quite happy to book with them, but the reason i only gave an average review my appointment was changed twice and i had other arrangements in place which i had to change",ease of booking positive,change of date negative,,,,,,,,,,,,
Quick easy courteous fair value,value for money positive,,,,,,,,,,,,,
Good choice of tyres at a competitive price. This is the second time I have used them and both times I have been very happy with the service.,value for money positive,,,,,,,,,,,,,
"Tyres ok, but balance on wheels was set very wrong by garage. I Gone abroad and had to stop In Germany to set balance again because it was not possible to drive.",garage service negative,,,,,,,,,,,,,
"Great service, great price and able to book a garage on line at a time that suits",value for money positive,ease of booking positive,,,,,,,,,,,,
Excellent. Easy to navigate web page clear pricing structure . 5 stars,value for money positive,,,,,,,,,,,,,
Got 4 tyres £150 cheaper and was fitted at my local ats same week would recommend them to anyone,value for money negative,location negative,,,,,,,,,,,,
Tyres fitted at ats couldn’t fault them only issue is ats could have done same price and not moaned at having to fit tyres for [REDACTED] stating they didn’t like [REDACTED] Other downside is [REDACTED] don’t offer tyre insurance but ats would have if I bought them from ats insurance at £9 per tyre. I don’t think I’d use [REDACTED] again or recommend them,value for money positive,garage service positive,,,,,,,,,,,,
"Great price, no fuss",value for money positive,,,,,,,,,,,,,
"Good value, easy to order and a good local garage to fit the tyre.",garage service positive,value for money positive,location positive,,,,,,,,,,,
Very easy to order and quick to deliver,delivery punctuality positive,,,,,,,,,,,,,
Tyres delivered quickly and excellent time slot for me. Tyres delivered quickly and excellent time for fitting provided for me. The actual fitting took a bit longer than expected. Apparently this was due to one of the new tyres not inflating on the rim. The fitter stated this was because the tyres are stored badly and when delivered they are slightly mis shapen and won’t fit on the rim properly. He did get there in the end after many attempts. Pleased with the tyres and no other problems encountered.,delivery punctuality positive,garage service positive,,,,,,,,,,,,
Thank you again Excellent service. Value for money. Exceptional service. Easy to navigate website. What more do you need? Thanks again [REDACTED].,value for money positive,,,,,,,,,,,,,
Good prices easy to organise. Buying on line easy with a good range of local fitters - chose a garage we know well and everything was done as expected with no hassles,value for money positive,ease of booking positive,location positive,,,,,,,,,,,
[REDACTED] does what it says on the tin you get the tyres you want fitted by your trusted local tyre fitter at a very good price,value for money negative,location negative,garage service negative,,,,,,,,,,,
"very happy. found a set I needed quickly online, booked a fitting when it suited me, had to change that time and did so with ease, the garage fitted tyres swiftly and on time, and I saved a few quid.",value for money positive,ease of booking positive,length of fitting positive,,,,,,,,,,,
"Good tyres, at a good price",value for money positive,tyre quality positive,,,,,,,,,,,,
Great service at a great price.,value for money positive,,,,,,,,,,,,,
"Great as usual. We've purchased from [REDACTED] several times, this time from a completely different garage. They were really good, the tyre fitter was nice and very friendly, job was well done.I can't recommend them enough and going through [REDACTED] meant cheaper too.",garage service positive,value for money positive,,,,,,,,,,,,
Great Service. Not quite the cheapest this time but service at Protyre Weston-super-Mare excellent.,value for money positive,,,,,,,,,,,,,
Good prices and good choice of fitting near me used many times before and will do in the future.,location positive,value for money positive,,,,,,,,,,,,
Tires as ordered delivered on time and at a very good price. Excellent service.,delivery punctuality positive,value for money positive,,,,,,,,,,,,
Best price for tyres and easy to deal with.,value for money positive,,,,,,,,,,,,,
"Good value and very wide choice of tyres, booking is easy and the fitting garage were very professional.",value for money positive,ease of booking positive,garage service positive,,,,,,,,,,,
Good value convenient service. Easy to change booking.,ease of booking positive,value for money positive,,,,,,,,,,,,
excellent service once againshoutout to lepsons garage also. great guys. excellent swift service!,length of fitting positive,garage service positive,,,,,,,,,,,,
Prompt efficient service at a very competitive price,value for money positive,,,,,,,,,,,,,
Good service good tyres at the right price. Thankyou,tyre quality positive,value for money positive,,,,,,,,,,,,
"Highly recommended. Quick, convenient, efficient. Good price too.",value for money positive,,,,,,,,,,,,,
Great experience quick change of tires got the budget one's and they feel like premium one's,length of fitting positive,tyre quality positive,,,,,,,,,,,,
"Great service. Came to my work, on time, and so quick. Can’t fault them..will def use again.",wait time positive,length of fitting positive,mobile fitter positive,,,,,,,,,,,
The ordering and booking process was straight forward. However the fitting of the tyres was delayed so had to hang around for over 45mins longer than expected. Something beyond [REDACTED] influence.,ease of booking positive,wait time positive,wait time negative,,,,,,,,,,,
Easy to use and by far the cheapest around. Great communication,value for money positive,,,,,,,,,,,,,
Good service and was able to have them fitted by a local garage all arranged through [REDACTED].Will use them again.,location positive,value for money positive,,,,,,,,,,,,
Best Quality Tyres and Cheapest Prices I Could Find On The Internet!!! Will Definitely Use Again!!!,tyre quality positive,value for money positive,,,,,,,,,,,,
Excellent service. Prompt and efficient replacement of 4 tyres at home at an agreed time on a Saturday morning.,mobile fitter positive,wait time positive,length of fitting positive,,,,,,,,,,,
"Great price, easy to use website with the ability to use local garage for fitting. First time i have used [REDACTED] and will definately use them again",value for money positive,location positive,,,,,,,,,,,,
Tyres and fitting. Tyres ordered into my local ATS - cannot fault the service or price.,value for money positive,location positive,,,,,,,,,,,,
"Excellent pricing, at a garage I have used and trusted before.",value for money positive,,,,,,,,,,,,,
Great price and service - highly recommended,value for money positive,,,,,,,,,,,,,
"Very Good Service Great Prices. I had my Tyres fitted at McKinnons in Wellington, Surrey. The service was quick efficient and the fitter was a good communicative type of chap! All in all very pleased with the price and fitment of the tyres.",value for money positive,length of fitting positive,garage service positive,,,,,,,,,,,
Nice idea but double check garage has equipment. It turned out that The garage selected didn’t have the equipment required to change the tyres. My husband ended up losing a day taking the car to a 2nd garage. There is now a clunking sound under the car - so will have to take it to a third garage to get this looked at.,garage service positive,,,,,,,,,,,,,
Easy to use website. Local friendly fitting station quality product at the right price,tyre quality positive,location positive,value for money positive,garage service positive,,,,,,,,,,
Consistently good. Blackheath Tyres coped very well on a busy morning and the quality tyres were fitted expertly. Its the same every time I use [REDACTED].,tyre quality positive,garage service positive,,,,,,,,,,,,
Excellent service. Reliable product at a realistic price!,tyre quality positive,value for money positive,,,,,,,,,,,,
Simple and easy to use. Tyres were cheaper than other places I looked and tyre fitting was very simple with lots of garages to pick from. All with date and times to suit everyone.,value for money positive,ease of booking positive,,,,,,,,,,,,
Does what it says. Good price promptly fitted does what it says on the tin what more can you say,length of fitting positive,value for money negative,length of fitting negative,value for money positive,,,,,,,,,,
"Great tyres at a great price! Excellent prompt fitting service at A & S Tyres & Wheels, highly recommended!",garage service positive,value for money positive,tyre quality positive,,,,,,,,,,,
Very easy service. Found the right tire for my car easily and able to get the tyre delivered fast to my local garage. Will use again.,location positive,delivery punctuality positive,,,,,,,,,,,,
excellent service. friendly staff and really helpful.,garage service positive,,,,,,,,,,,,,
Great service fantastic price very pleased always use [REDACTED] for my tyres,value for money positive,,,,,,,,,,,,,
"Good Service and value. Good value and even when I made a mistake they recognised it and contacted me and sorted it all out. Great service also from McConnachies in Sighthill, Edinburgh who fitted the tyres.",garage service positive,value for money positive,,,,,,,,,,,,
"Home fitted Avon tyres. We had our Avon tyres fitted at home to our new Ford Ecosport. Very easy to order, the only thing I had to do was manually select the tyre size because the auto pick list against our licence chose a 16 inch rim, well the wrong tyre really. Always best to check the numbers located on the wall of your tyre and you will be fine.Anyway second time Chris has been and fitted tyres for us, great service, quality, price and you don't even have to leave home. Tyres have made a big improvement to the cars noise levels, better braking and cornering in all weather. Thanks Chris and [REDACTED].",tyre quality positive,value for money positive,mobile fitter positive,,,,,,,,,,,
Very easy to order. Good communication. Excellent price. Delivered on time. Would use again.,delivery punctuality positive,value for money positive,,,,,,,,,,,,
Quality. Great price and Great service,value for money positive,,,,,,,,,,,,,
"Everything done online, good value for money. Tyres seem to be good, but only time will tell if they are really good value.",tyre quality positive,value for money positive,,,,,,,,,,,,
"Very happy with the whole process. Good selection and price, the garage were quick and efficient.",value for money positive,length of fitting positive,garage service positive,,,,,,,,,,,
Easy to use website. Saved me over £100 on 2 tyres. Simple decision.,value for money positive,,,,,,,,,,,,,
"Quick and easy site to use, all the information was readily available no digging for small print ratings etc. I chose mobile fitment, they met in a convenient carpark near my work and changed my tyres there and then in 20 minutes.",length of fitting positive,mobile fitter positive,length of fitting negative,mobile fitter negative,,,,,,,,,,
"Easy website, great prices, choice of fitting dates and good communication",value for money positive,ease of booking positive,,,,,,,,,,,,
Good value for money,value for money positive,,,,,,,,,,,,,
Near perfect combination of competitive prices coupled with excellent service from fitters.,value for money positive,,,,,,,,,,,,,
Good price for tyres and excellent fitting by local firm Bathwick tyres,location positive,value for money positive,garage service positive,,,,,,,,,,,
On time . Very polite and very efficient would highly recommend,wait time positive,,,,,,,,,,,,,
[REDACTED] was recommended to me by family members and I had a good experience as well and would be happy to also do so .,garage service positive,,,,,,,,,,,,,
Fast efficient service at a great price,value for money positive,,,,,,,,,,,,,
"Easy, cheaper, great garage!",garage service positive,value for money positive,,,,,,,,,,,,
"Good selection and good prices, like the way you can compare the options provided like the tyre performance",value for money positive,,,,,,,,,,,,,
"like the value for money options you get, simple to use",value for money positive,,,,,,,,,,,,,
Convenient to book and cheaper tyres than if go through the garages directly. Simple and easy process from start to finish.,value for money positive,ease of booking positive,,,,,,,,,,,,
Good price everything went smoothly,value for money positive,,,,,,,,,,,,,
Very good price a exelent service with great local fitters.,location positive,value for money positive,garage service positive,,,,,,,,,,,
It was really easy to select the tyres I wanted and to book an appointment with my local garage to get them fitted,location positive,ease of booking positive,,,,,,,,,,,,
Easy to.ourchas3 fitting was good,garage service positive,,,,,,,,,,,,,
"Easy, quick and simple. Service at Christian Cars was incredible.",garage service positive,,,,,,,,,,,,,
Easy website to use. Good competitive prices.,value for money positive,,,,,,,,,,,,,
Easy pleasant transaction. Well priced.,value for money positive,,,,,,,,,,,,,
Very easy to use and relatively cheap,value for money positive,,,,,,,,,,,,,
Best prices on web and convenient service - but might be different next time,value for money positive,,,,,,,,,,,,,
Really good straight forward service and very good price.,value for money positive,,,,,,,,,,,,,
"Excellent value, great location choice and comprehensive website choice and experience. 2nd time I've used you guys and I'd never go back.",value for money positive,,,,,,,,,,,,,
Good choice in tyres and good prices,value for money positive,,,,,,,,,,,,,
I chose 9 because the garage did a good job 1 point of for the garage owner being a bit off maybe because I was 10 mins late,garage service positive,length of fitting positive,,,,,,,,,,,,
Very easy process and good prices,value for money positive,,,,,,,,,,,,,
Local. Good prices. Friendly service.,value for money positive,,,,,,,,,,,,,
"Good prices, easy to organise",value for money positive,ease of booking positive,,,,,,,,,,,,
Great service at my local garage and great price from [REDACTED],location positive,value for money positive,,,,,,,,,,,,
Locally fitted tyres and great backup when needed,garage service positive,,,,,,,,,,,,,
Never used [REDACTED] before. The range of tyres were great at a really good price. I also had them fitted at a [REDACTED] tyre fitting place who were very quick and efficient.,value for money negative,length of fitting negative,,,,,,,,,,,,
Very good service although my appoint was for 15:00 hours I didn’t get my vehicle into the workshop till 15:20,garage service positive,length of fitting positive,,,,,,,,,,,,
"Price as good Facilities were good Timing was good Failure to torque up the front wheels before inviting me to drive off - not so good. An unease as I drove down the road turned into fear I would loose both wheels before I could get back to the fitters. The offer of £5 for my inconvenience was good. The failure to use the locking nut adapter properly, thereby destroying it and leaving me with no way to remove and replace wheels - not so good. Ordering me a new adapter was good I still haven’t seen it yet a week later - not so good.",value for money positive,garage service positive,location positive,,,,,,,,,,,
Cos the garage bm enterprises is excellent very professional and lovely people,garage service positive,,,,,,,,,,,,,
"Good prices, easy to use website and lots of garages to choose from for fitting.",value for money positive,,,,,,,,,,,,,
Website easy to use . Quick and convenient fitting arrangements with tyres fitted on drive by courteous technician in double quick time.,length of fitting positive,garage service positive,,,,,,,,,,,,
Easy. Quick. Good prices. Local fitters.,location positive,value for money positive,,,,,,,,,,,,
because it would have been cheaper to use ATS direct,value for money negative,,,,,,,,,,,,,
"Easy to access, good price, good service",value for money positive,,,,,,,,,,,,,
"The Web site is easy to use, excellent service in respect of delivery of tyres, fitting and price reasonable for premium tyres.",value for money positive,,,,,,,,,,,,,
Price and tyre options and the ability to have them fitted locally and reliably,value for money positive,location positive,,,,,,,,,,,,
"Good range and prices, easy to use",value for money positive,,,,,,,,,,,,,
